Instrument,Company Common Name
TX.N,Ternium SA
CAIV.VI,CA Immobilien Anlagen AG
UNIQ.VI,Uniqa Insurance Group AG
SMPV.VI,Semperit Holding AG
VOES.VI,voestalpine AG
SIAG.VI,S Immo AG
VIEV.VI,Flughafen Wien AG
KTCG.VI,Kapsch Trafficcom AG
AMS.S,ams-OSRAM AG
AGRV.VI,Agrana Beteiligungs AG
IMFI.VI,Immofinanz AG
OMVV.VI,Omv AG
VIGR.VI,Vienna Insurance Group Wiener Versicherung Gruppe AG
KTN.DE,Kontron AG
LENV.VI,Lenzing AG
DOCO.VI,DO & CO AG
EVNV.VI,EVN AG
PALF.VI,Palfinger AG
ATSV.VI,AT & S Austria Technologie & Systemtechnik AG
TELA.VI,Telekom Austria AG
ABGV.VI,Porr AG
SBOE.VI,Schoeller-Bleckmann Oilfield Equipment AG
VERB.VI,Verbund AG
OBER.VI,Oberbank AG
WBSV.VI,Wienerberger AG
MMKV.VI,Mayr-Melnhof Karton AG
POST.VI,Oesterreichische Post AG
ANDR.VI,Andritz AG
RBIV.VI,Raiffeisen Bank International AG
ZUMV.VI,Zumtobel Group AG
ACKB.BR,Ackermans & Van Haaren NV
COLR.BR,Colruyt Group NV
IETB.BR,D'Ieteren Group SA
LOTB.BR,Lotus Bakeries NV
COFB.BR,Cofinimmo SA
FAGRO.BR,Fagron NV
BAR.BR,Barco NV
SOF.BR,Sofina SA
MONTE.BR,Montea NV
CFEB.BR,Compagnie d'entreprises CFE SA
ABI.BR,Anheuser-Busch Inbev SA
UMI.BR,Umicore SA
ECONB.BR,Econocom Group SE
GLPG.AS,Galapagos NV
UCB.BR,Ucb SA
PROX.BR,Proximus NV
BEKB.BR,NV Bekaert SA
SOLB.BR,Solvay SA
KIPO.BR,Kinepolis Group NV
VELD.BR,Van de Velde NV
MLXS.BR,Melexis NV
OBEL.BR,Orange Belgium NV
AGFB.BR,AGFA Gevaert NV
RETE.BR,Retail Estates NV
GREENY.BR,Greenyard NV
WDPP.BR,Warehouses de Pauw NV
CMBT.BR,CMB.TECH NV
EXMR.BR,Exmar NV
ELI.BR,Elia Group SA
AOO.BR,Aedifica NV
TESB.BR,Tessenderlo Group NV
PDL.L,Petra Diamonds Ltd
CEZP.PR,CEZ as
TOP.CO,Topdanmark A/S
SYDB.CO,Sydbank A/S
BKOM.PR,Komercni Banka as
COLOb.CO,Coloplast A/S
RILBA.CO,Ringkjoebing Landbobank A/S
DSV.CO,DSV A/S
PAALb.CO,Per Aarsleff Holding A/S
AMBUb.CO,Ambu A/S
HHDC.CO,H+H International A/S
GN.CO,GN Store Nord A/S
FLUGb.CO,Flugger group A/S
RBREW.CO,Royal Unibrew A/S
KBHL.CO,Copenhagen Airports A/S
NOVOb.CO,Novo Nordisk A/S
DEMANT.CO,Demant A/S
NORTHM.CO,North Media A/S
VWS.CO,Vestas Wind Systems A/S
NTGNT.CO,NTG Nordic Transport Group AS
MTHH.CO,MT Hoejgaard Holding A/S
MAERSKb.CO,AP Moeller - Maersk A/S
FLS.CO,FLSmidth & Co A/S
GABR.CO,Gabriel Holding A/S
COLUM.CO,Columbus A/S
CARLb.CO,Carlsberg A/S
ALKb.CO,ALK-Abello A/S
GMAB.CO,Genmab A/S
DNORD.CO,Dampskibsselskabet Norden A/S
NSISb.CO,Novozymes A/S
SCHO.CO,Schouw & Co A/S
DFDS.CO,DFDS AS
NKT.CO,Nkt A/S
HLUNa.CO,H Lundbeck A/S
ALMB.CO,ALM. Brand A/S
SOLARb.CO,Solar A/S
KCRA.HE,Konecranes Abp
OUT1V.HE,Outokumpu Oyj
LAT1V.HE,Lassila & Tikanoja Oyj
CTY1S.HE,Citycon Oyj
ALBAV.HE,Alandsbanken Abp
ATRAV.HE,Atria Oyj
UPM.HE,UPM-Kymmene Oyj
OLVAS.HE,Olvi Oyj
