Instrument;Weighted Average Cost of Capital, (%);WACC Debt Weight, (%);WACC Tax Rate, (%);Date;lei;sector;listed;hq;soe;ren
TX.N;15.69116026;23.56731002;23.77541;31.12.2022;529900QG4KU23TEI2E46;Basic Materials;0;Luxembourg;FALSCH;92134380
TX.N;25.77079129;19.77856936;24.23767;31.12.2021;529900QG4KU23TEI2E46;Basic Materials;0;Luxembourg;FALSCH;96699360
TX.N;33.96556665;17.59081378;25.06251183;31.12.2020;529900QG4KU23TEI2E46;Basic Materials;0;Luxembourg;FALSCH;0
TX.N;5.323836374;36.93593238;21.71811;31.12.2019;529900QG4KU23TEI2E46;Basic Materials;0;Luxembourg;FALSCH;0
TX.N;4.971854779;38.08868497;20.729925;31.12.2018;529900QG4KU23TEI2E46;Basic Materials;0;Luxembourg;FALSCH;0
TX.N;12.12681625;29.55192117;18.326335;31.12.2017;529900QG4KU23TEI2E46;Basic Materials;0;Luxembourg;FALSCH; 
CAIV.VI;5.926061356;43.58460016;27.08652;31.12.2022;5299003ICAPV07J0R180;Real Estate;1;Austria;FALSCH; 
CAIV.VI;7.021251448;46.32692627;27.07545;31.12.2021;5299003ICAPV07J0R180;Real Estate;1;Austria;FALSCH; 
CAIV.VI;3.778124009;39.72727918;22.94195;31.12.2020;5299003ICAPV07J0R180;Real Estate;1;Austria;FALSCH; 
CAIV.VI;1.937602507;49.48206019;22.94195;31.12.2019;5299003ICAPV07J0R180;Real Estate;1;Austria;FALSCH; 
CAIV.VI;3.043552565;39.22664402;22.59548;31.12.2018;5299003ICAPV07J0R180;Real Estate;1;Austria;FALSCH; 
CAIV.VI;3.972240009;38.20463278;22.59548;31.12.2017;5299003ICAPV07J0R180;Real Estate;1;Austria;FALSCH; 
UNIQ.VI;7.048178764;43.76044672;22.61725768;31.12.2022;529900OOW8ELHOXWZP82;Financials;1;Austria;FALSCH; 
UNIQ.VI;14.49668311;0;21.5289811;31.12.2021;529900OOW8ELHOXWZP82;Financials;1;Austria;FALSCH; 
UNIQ.VI;5.706853236;32.66774728;24.64793985;31.12.2020;529900OOW8ELHOXWZP82;Financials;1;Austria;FALSCH; 
UNIQ.VI;4.885122111;0;20.01306;31.12.2019;529900OOW8ELHOXWZP82;Financials;1;Austria;FALSCH; 
UNIQ.VI;7.650811711;25.06684541;20.18084;31.12.2018;529900OOW8ELHOXWZP82;Financials;1;Austria;FALSCH; 
UNIQ.VI;8.07260324;24.10158556;20.18084;31.12.2017;529900OOW8ELHOXWZP82;Financials;1;Austria;FALSCH; 
SMPV.VI;4.81801896;46.64224422;22.63534;31.12.2022;529900PG9O7YFYX5UM88;Consumer Cyclicals;1;Austria;FALSCH;1782
SMPV.VI;7.690080578;16.84714061;22.056535;31.12.2021;529900PG9O7YFYX5UM88;Consumer Cyclicals;1;Austria;FALSCH;0
SMPV.VI;3.115309892;22.07778912;25.03655;31.12.2020;529900PG9O7YFYX5UM88;Consumer Cyclicals;1;Austria;FALSCH;0
SMPV.VI;1.440891205;32.47537239;23.9947;31.12.2019;529900PG9O7YFYX5UM88;Consumer Cyclicals;1;Austria;FALSCH;0
SMPV.VI;5.808985351;48.09675153;24.17886;31.12.2018;529900PG9O7YFYX5UM88;Consumer Cyclicals;1;Austria;FALSCH;0
SMPV.VI;5.331897622;45.72891012;21.469395;31.12.2017;529900PG9O7YFYX5UM88;Consumer Cyclicals;1;Austria;FALSCH; 
VOES.VI;7.949000304;47.7526193;23.4281267;31.12.2022;529900ZAXBMQDIWPNB72;Basic Materials;1;Austria;FALSCH;0
VOES.VI;8.481599001;58.64881673;21.90056376;31.12.2021;529900ZAXBMQDIWPNB72;Basic Materials;1;Austria;FALSCH;0
VOES.VI;4.363333677;45.18925707;25.03655;31.12.2020;529900ZAXBMQDIWPNB72;Basic Materials;1;Austria;FALSCH;0
VOES.VI;2.841236954;53.56600337;22.764235;31.12.2019;529900ZAXBMQDIWPNB72;Basic Materials;1;Austria;FALSCH; 
VOES.VI;5.560978089;58.35342136;20.82494;31.12.2018;529900ZAXBMQDIWPNB72;Basic Materials;1;Austria;FALSCH; 
VOES.VI;7.647188842;37.23532054;21.44199;31.12.2017;529900ZAXBMQDIWPNB72;Basic Materials;1;Austria;FALSCH; 
SIAG.VI;5.730746211;65.34855095;18.63900355;31.12.2022;5299001QKV44IT3WPL26;Real Estate;1;Austria;FALSCH;1440
SIAG.VI;8.185923579;48.87462407;15.16011;31.12.2021;5299001QKV44IT3WPL26;Real Estate;1;Austria;FALSCH;0
SIAG.VI;5.396487298;53.56042959;15.16011;31.12.2020;5299001QKV44IT3WPL26;Real Estate;1;Austria;FALSCH;0
SIAG.VI;2.958264224;58.20394203;17.52017089;31.12.2019;5299001QKV44IT3WPL26;Real Estate;1;Austria;FALSCH;0
SIAG.VI;4.102733421;52.61404306;21.48293966;31.12.2018;5299001QKV44IT3WPL26;Real Estate;1;Austria;FALSCH; 
SIAG.VI;4.82655564;54.53018055;19.7866604;31.12.2017;5299001QKV44IT3WPL26;Real Estate;1;Austria;FALSCH; 
VIEV.VI;7.974464964;5.985131036;26.60656;31.12.2022;549300FQ2ILBH7DJ6I45;Industrials;1;Austria;FALSCH; 
VIEV.VI;10.84856364;9.142630204;26.94191;31.12.2021;549300FQ2ILBH7DJ6I45;Industrials;1;Austria;FALSCH; 
VIEV.VI;8.372865336;11.624144;26.708925;31.12.2020;549300FQ2ILBH7DJ6I45;Industrials;1;Austria;FALSCH; 
VIEV.VI;4.530018374;18.77142388;26.61368;31.12.2019;549300FQ2ILBH7DJ6I45;Industrials;1;Austria;FALSCH; 
VIEV.VI;4.601201002;10.84661344;26.61368;31.12.2018;549300FQ2ILBH7DJ6I45;Industrials;1;Austria;FALSCH; 
VIEV.VI;5.265290814;9.955068081;26.2815;31.12.2017;549300FQ2ILBH7DJ6I45;Industrials;1;Austria;FALSCH; 
KTCG.VI;6.219535345;58.83586844;22.63534;31.12.2022;529900PD3SI453KAW989;Technology;1;Austria;FALSCH; 
KTCG.VI;6.989802417;61.1736145;22.056535;31.12.2021;529900PD3SI453KAW989;Technology;1;Austria;FALSCH; 
KTCG.VI;3.933640852;55.03082715;28.99479714;31.12.2020;529900PD3SI453KAW989;Technology;1;Austria;FALSCH; 
KTCG.VI;1.973142841;64.90810097;30.53262807;31.12.2019;529900PD3SI453KAW989;Technology;1;Austria;FALSCH; 
KTCG.VI;1.98621582;38.43295838;30.50598535;31.12.2018;529900PD3SI453KAW989;Technology;1;Austria;FALSCH; 
KTCG.VI;4.641262711;26.45441498;35.81035783;31.12.2017;529900PD3SI453KAW989;Technology;1;Austria;FALSCH; 
AMS.S;11.20036931;70.7429102;22.63534;31.12.2022;5299001JPPT2QFTV5D76;Technology;1;Austria;FALSCH;1440
AMS.S;14.74220125;61.56535167;22.056535;31.12.2021;5299001JPPT2QFTV5D76;Technology;1;Austria;FALSCH;1440
AMS.S;12.18497545;42.12264805;25.03655;31.12.2020;5299001JPPT2QFTV5D76;Technology;1;Austria;FALSCH;1440
AMS.S;7.393780195;38.43495409;23.9947;31.12.2019;5299001JPPT2QFTV5D76;Technology;1;Austria;FALSCH;0
AMS.S;8.190448714;36.27571423;24.17886;31.12.2018;5299001JPPT2QFTV5D76;Technology;1;Austria;FALSCH;0
AMS.S;8.761323591;29.57462733;9.371167991;31.12.2017;5299001JPPT2QFTV5D76;Technology;1;Austria;FALSCH; 
AGRV.VI;4.971031616;48.3450538;22.63534;31.12.2022;5299006C0EVA5LAYOR30;Consumer Non-Cyclicals;1;Austria;FALSCH; 
AGRV.VI;6.765524297;38.7674632;22.056535;31.12.2021;5299006C0EVA5LAYOR30;Consumer Non-Cyclicals;1;Austria;FALSCH; 
AGRV.VI;3.569928555;34.96463422;24.32357653;31.12.2020;5299006C0EVA5LAYOR30;Consumer Non-Cyclicals;1;Austria;FALSCH; 
AGRV.VI;1.904113524;34.96462167;23.7549702;31.12.2019;5299006C0EVA5LAYOR30;Consumer Non-Cyclicals;1;Austria;FALSCH; 
AGRV.VI;4.611599503;35.44097149;23.7826746;31.12.2018;5299006C0EVA5LAYOR30;Consumer Non-Cyclicals;1;Austria;FALSCH; 
AGRV.VI;5.678249862;22.52973393;22.50948;31.12.2017;5299006C0EVA5LAYOR30;Consumer Non-Cyclicals;1;Austria;FALSCH; 
IMFI.VI;6.747630819;60.55915302;12.63670514;31.12.2022;5299000DUMZ99SBBX121;Real Estate;1;Austria;FALSCH;2746.8
IMFI.VI;9.455604067;56.29725788;5.553784622;31.12.2021;5299000DUMZ99SBBX121;Real Estate;1;Austria;FALSCH;0
IMFI.VI;4.837498171;55.23969924;0.72389;31.12.2020;5299000DUMZ99SBBX121;Real Estate;1;Austria;FALSCH;0
IMFI.VI;2.199674236;62.52295531;0.72389;31.12.2019;5299000DUMZ99SBBX121;Real Estate;1;Austria;FALSCH;0
IMFI.VI;5.078387822;49.42298518;24.17886;31.12.2018;5299000DUMZ99SBBX121;Real Estate;1;Austria;FALSCH;0
IMFI.VI;6.366440409;48.55564529;21.469395;31.12.2017;5299000DUMZ99SBBX121;Real Estate;1;Austria;FALSCH; 
OMVV.VI;10.97946406;39.11080096;22.63534;31.12.2022;549300V62YJ9HTLRI486;Energy;1;Austria;FALSCH;84000
OMVV.VI;14.08136763;45.64407562;22.056535;31.12.2021;549300V62YJ9HTLRI486;Energy;1;Austria;FALSCH;52000
OMVV.VI;8.762292925;39.81024889;25.03655;31.12.2020;549300V62YJ9HTLRI486;Energy;1;Austria;FALSCH;300
OMVV.VI;3.231132195;56.40135187;39.56944;31.12.2019;549300V62YJ9HTLRI486;Energy;1;Austria;FALSCH;0
OMVV.VI;6.442686868;33.34586722;39.56944;31.12.2018;549300V62YJ9HTLRI486;Energy;1;Austria;FALSCH; 
OMVV.VI;8.015132396;25.49625093;32.93175521;31.12.2017;549300V62YJ9HTLRI486;Energy;1;Austria;FALSCH; 
VIGR.VI;7.208139572;40.51380964;24.08866;31.12.2022;549300JCRU23I1THU176;Financials;1;Austria;FALSCH; 
VIGR.VI;9.579628512;39.49154076;24.12107;31.12.2021;549300JCRU23I1THU176;Financials;1;Austria;FALSCH; 
VIGR.VI;6.015776151;31.43152188;21.0811;31.12.2020;549300JCRU23I1THU176;Financials;1;Austria;FALSCH; 
VIGR.VI;3.008547764;37.58567891;23.9947;31.12.2019;549300JCRU23I1THU176;Financials;1;Austria;FALSCH; 
VIGR.VI;8.391759456;0;24.17886;31.12.2018;549300JCRU23I1THU176;Financials;1;Austria;FALSCH; 
VIGR.VI;5.483302502;45.14249344;21.469395;31.12.2017;549300JCRU23I1THU176;Financials;1;Austria;FALSCH; 
KTN.DE;10.89395545;19.58249439;9.206695;31.12.2022;5299002PSXXMVHB26433;Technology;1;Austria;FALSCH;0
KTN.DE;13.97189617;28.45125881;9.99374;31.12.2021;5299002PSXXMVHB26433;Technology;1;Austria;FALSCH;429.0097104
KTN.DE;9.38038155;21.87812474;10.87587595;31.12.2020;5299002PSXXMVHB26433;Technology;1;Austria;FALSCH;0
KTN.DE;5.184198165;24.53393635;9.33299741;31.12.2019;5299002PSXXMVHB26433;Technology;1;Austria;FALSCH;0
KTN.DE;7.031146988;20.4406649;6.318148912;31.12.2018;5299002PSXXMVHB26433;Technology;1;Austria;FALSCH; 
KTN.DE;8.560610402;5.579465913;5.346756103;31.12.2017;5299002PSXXMVHB26433;Technology;1;Austria;FALSCH; 
LENV.VI;6.875118796;62.20119585;22.63534;31.12.2022;529900BKFJBI0QRDJH63;Basic Materials;1;Austria;FALSCH; 
LENV.VI;9.938810183;62.51186141;22.056535;31.12.2021;529900BKFJBI0QRDJH63;Basic Materials;1;Austria;FALSCH; 
LENV.VI;4.771914839;42.44407511;25.03655;31.12.2020;529900BKFJBI0QRDJH63;Basic Materials;1;Austria;FALSCH; 
LENV.VI;2.867826695;52.5875917;22.2446755;31.12.2019;529900BKFJBI0QRDJH63;Basic Materials;1;Austria;FALSCH; 
LENV.VI;4.455858063;21.24300273;24.17886;31.12.2018;529900BKFJBI0QRDJH63;Basic Materials;1;Austria;FALSCH; 
LENV.VI;5.972699402;14.20493259;21.469395;31.12.2017;529900BKFJBI0QRDJH63;Basic Materials;1;Austria;FALSCH; 
DOCO.VI;12.96327565;32.20168467;27.1260325;31.12.2022;5299002NFQKOBT1E8569;Consumer Cyclicals;1;Austria;FALSCH; 
DOCO.VI;15.95520067;44.45964432;27.50966996;31.12.2021;5299002NFQKOBT1E8569;Consumer Cyclicals;1;Austria;FALSCH; 
DOCO.VI;10.01097339;43.41087844;27.72363;31.12.2020;5299002NFQKOBT1E8569;Consumer Cyclicals;1;Austria;FALSCH; 
DOCO.VI;6.3808279;65.54817078;25.70131325;31.12.2019;5299002NFQKOBT1E8569;Consumer Cyclicals;1;Austria;FALSCH; 
DOCO.VI;5.174284311;20.92109282;24.24611967;31.12.2018;5299002NFQKOBT1E8569;Consumer Cyclicals;1;Austria;FALSCH; 
DOCO.VI;6.575257714;19.35980596;23.96454854;31.12.2017;5299002NFQKOBT1E8569;Consumer Cyclicals;1;Austria;FALSCH; 
EVNV.VI;7.956977785;25.14092657;11.47116204;31.12.2022;529900P4JZBFEVNEAE60;Utilities;1;Austria;WAHR;16207200
EVNV.VI;9.513925662;34.15588165;12.70848172;31.12.2021;529900P4JZBFEVNEAE60;Utilities;1;Austria;WAHR;16952400
EVNV.VI;5.323975925;21.00193355;12.77247039;31.12.2020;529900P4JZBFEVNEAE60;Utilities;1;Austria;WAHR;0
EVNV.VI;2.502616761;30.19527121;12.50335;31.12.2019;529900P4JZBFEVNEAE60;Utilities;1;Austria;WAHR;8334000
EVNV.VI;4.439264407;26.7956826;12.50335;31.12.2018;529900P4JZBFEVNEAE60;Utilities;1;Austria;WAHR; 
EVNV.VI;5.332607039;27.19896182;12.440225;31.12.2017;529900P4JZBFEVNEAE60;Utilities;1;Austria;WAHR; 
PALF.VI;8.885728408;48.6159004;26.02856;31.12.2022;529900IFAV83BX8O1O91;Industrials;1;Austria;FALSCH;0
PALF.VI;14.7532843;29.2209248;22.056535;31.12.2021;529900IFAV83BX8O1O91;Industrials;1;Austria;FALSCH;0
PALF.VI;10.80219478;0;25.03655;31.12.2020;529900IFAV83BX8O1O91;Industrials;1;Austria;FALSCH;0
PALF.VI;3.377970477;51.61310797;23.9947;31.12.2019;529900IFAV83BX8O1O91;Industrials;1;Austria;FALSCH;0
PALF.VI;9.332354229;0;24.17886;31.12.2018;529900IFAV83BX8O1O91;Industrials;1;Austria;FALSCH; 
PALF.VI;6.548702508;35.5425445;23.00966;31.12.2017;529900IFAV83BX8O1O91;Industrials;1;Austria;FALSCH; 
ATSV.VI;6.599352789;62.44903295;21.55417023;31.12.2022;529900EVOKN4LCCD9321;Technology;1;Austria;FALSCH;0
ATSV.VI;10.00439029;52.49977064;22.3830609;31.12.2021;529900EVOKN4LCCD9321;Technology;1;Austria;FALSCH;0
ATSV.VI;5.530315895;49.2232101;24.32148857;31.12.2020;529900EVOKN4LCCD9321;Technology;1;Austria;FALSCH;0
ATSV.VI;2.534344421;59.10248918;23.95544894;31.12.2019;529900EVOKN4LCCD9321;Technology;1;Austria;FALSCH; 
ATSV.VI;5.441349665;54.61667263;21.61712;31.12.2018;529900EVOKN4LCCD9321;Technology;1;Austria;FALSCH; 
ATSV.VI;7.014944435;51.07093153;18.55633;31.12.2017;529900EVOKN4LCCD9321;Technology;1;Austria;FALSCH; 
TELA.VI;5.173205651;39.89774443;28.84476;31.12.2022;529900KCNFQU5OJH7L33;Technology;1;Austria;FALSCH;0
TELA.VI;5.366988682;40.72601368;25.89571408;31.12.2021;529900KCNFQU5OJH7L33;Technology;1;Austria;FALSCH;0
TELA.VI;2.235605619;40.15507486;24.92924732;31.12.2020;529900KCNFQU5OJH7L33;Technology;1;Austria;FALSCH;0
TELA.VI;1.183421431;45.93653235;22.28886702;31.12.2019;529900KCNFQU5OJH7L33;Technology;1;Austria;FALSCH;0
TELA.VI;3.039525007;44.83256712;20.24541734;31.12.2018;529900KCNFQU5OJH7L33;Technology;1;Austria;FALSCH; 
TELA.VI;4.309260034;38.86519825;21.469395;31.12.2017;529900KCNFQU5OJH7L33;Technology;1;Austria;FALSCH; 
ABGV.VI;5.943280457;56.17610556;25.249305;31.12.2022;529900ARBU9SBJFNX419;Industrials;1;Austria;FALSCH;1188
ABGV.VI;7.519046217;66.26965204;25.47603;31.12.2021;529900ARBU9SBJFNX419;Industrials;1;Austria;FALSCH;1288.8
